t,truth_x,truth_y,truth_z,truth_roll,truth_pitch,truth_yaw,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_roll,ekf_pitch,ekf_yaw,esekf_x,esekf_y,esekf_z,esekf_vx,esekf_vy,esekf_vz,esekf_roll,esekf_pitch,esekf_yaw
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031057,0.034174,0.016405,0.339071,0.389930,0.211606,0.131793,0.012277,-0.060194,0.033927,0.037162,0.017591,0.331897,0.382472,0.208641,0.131631,0.012297,-0.060244
0.100000,0.038772,0.052722,0.018182,0.020841,0.027397,0.080094,0.069464,0.076005,0.046800,0.368389,0.419750,0.330086,0.221650,-0.025813,-0.101975,0.073762,0.079565,0.049599,0.355976,0.412040,0.318958,0.221084,-0.025517,-0.101807
0.200000,0.071792,0.109065,0.042641,0.054904,0.055944,0.154447,0.105170,0.118157,0.088936,0.352778,0.423474,0.440211,0.263511,-0.125457,-0.118235,0.108973,0.121617,0.094516,0.347352,0.419305,0.412096,0.261867,-0.124059,-0.117438
0.300000,0.100082,0.168166,0.075425,0.094465,0.075476,0.226186,0.136158,0.160295,0.139505,0.309600,0.427037,0.511510,0.289137,-0.239356,-0.115735,0.137628,0.163299,0.147841,0.324833,0.428103,0.465049,0.286470,-0.235913,-0.114438
0.400000,0.124603,0.229224,0.113096,0.137387,0.083642,0.297352,0.161231,0.204330,0.194499,0.248365,0.446932,0.560463,0.285365,-0.368480,-0.108068,0.159696,0.207482,0.204017,0.291446,0.445090,0.507830,0.283186,-0.362560,-0.107440
0.500000,0.144916,0.291943,0.152545,0.182681,0.079644,0.369481,0.179746,0.251234,0.253027,0.174212,0.467999,0.607942,0.250100,-0.480251,-0.112676,0.176010,0.254977,0.262446,0.241612,0.454760,0.561395,0.250236,-0.471691,-0.114009
0.600000,0.160943,0.354891,0.198150,0.225495,0.061401,0.442015,0.192829,0.300086,0.315493,0.114330,0.483626,0.646012,0.210114,-0.516181,-0.130441,0.189347,0.304417,0.324266,0.187786,0.458704,0.609799,0.211873,-0.505337,-0.133860
0.700000,0.172921,0.416142,0.252002,0.263932,0.034369,0.513427,0.203719,0.349736,0.381117,0.093461,0.490159,0.668032,0.178685,-0.461034,-0.148082,0.203448,0.354605,0.389139,0.147556,0.457741,0.641580,0.180351,-0.448937,-0.153237
0.800000,0.180108,0.473650,0.313464,0.298609,0.008610,0.583315,0.216624,0.398553,0.448216,0.123281,0.482267,0.663632,0.175839,-0.327668,-0.155420,0.220911,0.402474,0.457019,0.140884,0.456607,0.634724,0.177942,-0.315269,-0.161208
0.900000,0.182595,0.526346,0.379918,0.330832,-0.007295,0.651727,0.236493,0.445991,0.511177,0.201967,0.465789,0.594232,0.220073,-0.142341,-0.165343,0.244928,0.446866,0.522410,0.171367,0.459096,0.558033,0.225632,-0.131120,-0.170862
1.000000,0.179737,0.576278,0.443186,0.365410,-0.006153,0.719452,0.265054,0.491218,0.563084,0.289866,0.440255,0.464026,0.298461,0.046225,-0.204599,0.275696,0.487037,0.577509,0.212804,0.462563,0.426691,0.310161,0.055039,-0.209036
1.100000,0.170649,0.625518,0.495772,0.407200,0.015512,0.784774,0.300497,0.533782,0.600851,0.357130,0.426361,0.305781,0.399950,0.179491,-0.259342,0.310332,0.524252,0.619324,0.250746,0.484381,0.263458,0.417356,0.184101,-0.262205
